game,ply,move_number,side,fen_before,played_move,played_uci,best_uci,best_san,best_score_cp,after_score_cp,loss_cp,phase,is_capture,mate_event
199,75,38,White,2r2r2/3p2k1/pn4p1/2p1P1Qp/2P4P/1P2B3/P6K/3q4 w - - 0 38,Qh6+,g5h6,g5h6,Qh6+,-375,-432,57,endgame,False,False
199,76,38,Black,2r2r2/3p2k1/pn4pQ/2p1P2p/2P4P/1P2B3/P6K/3q4 b - - 1 38,Kf7,g7f7,g7f7,Kf7,431,460,0,endgame,False,False
199,77,39,White,2r2r2/3p1k2/pn4pQ/2p1P2p/2P4P/1P2B3/P6K/3q4 w - - 2 39,Qh7+,h6h7,h6h7,Qh7+,-460,-515,55,endgame,False,False
199,78,39,Black,2r2r2/3p1k1Q/pn4p1/2p1P2p/2P4P/1P2B3/P6K/3q4 b - - 3 39,Ke6,f7e6,f7e6,Ke6,520,521,0,endgame,False,False
199,79,40,White,2r2r2/3p3Q/pn2k1p1/2p1P2p/2P4P/1P2B3/P6K/3q4 w - - 4 40,Qxg6+,h7g6,h7g6,Qxg6+,-521,-545,24,endgame,True,False
199,80,40,Black,2r2r2/3p4/pn2k1Q1/2p1P2p/2P4P/1P2B3/P6K/3q4 b - - 0 40,Kxe5,e6e5,e6e5,Kxe5,545,572,0,endgame,True,False
199,81,41,White,2r2r2/3p4/pn4Q1/2p1k2p/2P4P/1P2B3/P6K/3q4 w - - 0 41,Qxh5+,g6h5,g6g7,Qg7+,-572,-1000,428,endgame,True,False
199,82,41,Black,2r2r2/3p4/pn6/2p1k2Q/2P4P/1P2B3/P6K/3q4 b - - 0 41,Ke4,e5e4,d1h5,Qxh5,1000,128,872,endgame,False,False
199,83,42,White,2r2r2/3p4/pn6/2p4Q/2P1k2P/1P2B3/P6K/3q4 w - - 1 42,Qxd1,h5d1,h5d1,Qxd1,-123,-176,53,endgame,True,False
199,84,42,Black,2r2r2/3p4/pn6/2p5/2P1k2P/1P2B3/P6K/3Q4 b - - 0 42,Kxe3,e4e3,e4e3,Kxe3,143,151,0,endgame,True,False
199,85,43,White,2r2r2/3p4/pn6/2p5/2P4P/1P2k3/P6K/3Q4 w - - 0 43,Qe1+,d1e1,d1e1,Qe1+,-138,-136,0,endgame,False,False
199,86,43,Black,2r2r2/3p4/pn6/2p5/2P4P/1P2k3/P6K/4Q3 b - - 1 43,Kd4,e3d4,e3d4,Kd4,117,179,0,endgame,False,False
199,87,44,White,2r2r2/3p4/pn6/2p5/2Pk3P/1P6/P6K/4Q3 w - - 2 44,Qd2+,e1d2,e1a1,Qa1+,-154,-177,23,endgame,False,False
199,88,44,Black,2r2r2/3p4/pn6/2p5/2Pk3P/1P6/P2Q3K/8 b - - 3 44,Ke5,d4e5,d4e5,Ke5,177,214,0,endgame,False,False
199,89,45,White,2r2r2/3p4/pn6/2p1k3/2P4P/1P6/P2Q3K/8 w - - 4 45,Qe3+,d2e3,b3b4,b4,-214,-211,0,endgame,False,False
199,90,45,Black,2r2r2/3p4/pn6/2p1k3/2P4P/1P2Q3/P6K/8 b - - 5 45,Kd6,e5d6,e5d6,Kd6,256,269,0,endgame,False,False
199,91,46,White,2r2r2/3p4/pn1k4/2p5/2P4P/1P2Q3/P6K/8 w - - 6 46,Qh6+,e3h6,b3b4,b4,-269,-484,215,endgame,False,False
199,92,46,Black,2r2r2/3p4/pn1k3Q/2p5/2P4P/1P6/P6K/8 b - - 7 46,Kc7,d6c7,d6c7,Kc7,484,504,0,endgame,False,False
199,93,47,White,2r2r2/2kp4/pn5Q/2p5/2P4P/1P6/P6K/8 w - - 8 47,Qg7,h6g7,b3b4,b4,-544,-489,0,endgame,False,False
199,94,47,Black,2r2r2/2kp2Q1/pn6/2p5/2P4P/1P6/P6K/8 b - - 9 47,Rg8,f8g8,c7b7,Kb7,480,515,0,endgame,False,False
199,95,48,White,2r3r1/2kp2Q1/pn6/2p5/2P4P/1P6/P6K/8 w - - 10 48,Qe5+,g7e5,g7e7,Qe7,-523,-514,0,endgame,False,False
199,96,48,Black,2r3r1/2kp4/pn6/2p1Q3/2P4P/1P6/P6K/8 b - - 11 48,d6,d7d6,c7b7,Kb7,527,591,0,endgame,False,False
199,97,49,White,2r3r1/2k5/pn1p4/2p1Q3/2P4P/1P6/P6K/8 w - - 0 49,Qe7+,e5e7,e5c3,Qc3,-609,-646,37,endgame,False,False
